version,system,TemporalAccuracy,StalenessErrorRate,ChangeDetectionF1,CausalTraceAccuracy,TRS,TemporalAccuracy_std,StalenessErrorRate_std,ChangeDetectionF1_std,CausalTraceAccuracy_std,TRS_std,N_AsOf,N_Change,N_Causal
v1,A,0.039733333333333336,0.9602666666666667,1.0,1.0,0.37579999999999997,0.003738389433373086,0.003738389433373123,0.0,0.0,0.002416609194718898,1200,400,400
v1,B,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1200,400,400
v1,C,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1200,400,400
v1,D,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1200,400,400
v1,D_revised,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1200,400,400
v2,A,0.3748666666666667,0.6251333333333333,1.0,1.0,0.5936666666666667,0.00024944382578492174,0.00024944382578490196,0.0,0.0,0.00016996731711974077,1598,398,4
v2,B,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1598,398,4
v2,C,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1598,398,4
v2,D,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1598,398,4
v2,D_revised,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1598,398,4
v3,A,0.20103333333333331,0.7909333333333333,1.0,1.0,0.48310000000000003,0.0016519348924485236,0.002407396011369064,0.0,0.0,0.0011860297916438198,1862,47,91
v3,B,0.4875,0.0,1.0,1.0,0.8206333333333333,0.01601811474549985,0.0,0.0,0.0,0.005632248416238614,1862,47,91
v3,C,0.5207333333333333,0.0,1.0,1.0,0.8322666666666666,0.0014522013940527737,0.0,0.0,0.0,0.000478423336480243,1862,47,91
v3,D,0.4721666666666667,0.0,1.0,1.0,0.8152333333333334,0.0176873463872403,0.0,0.0,0.0,0.0062109222789820066,1862,47,91
v3,D_revised,0.5207333333333333,0.0,1.0,1.0,0.8322666666666666,0.0014522013940527737,0.0,0.0,0.0,0.000478423336480243,1862,47,91
v4,A,0.4586666666666666,0.7885,0.0,0.0,0.22396666666666665,0.021588319887280605,0.05441660285856392,0.0,0.0,0.022828685658374835,2000,0,0
v4,B,0.5783333333333333,0.0,0.0,0.0,0.5024333333333334,0.015525963917114943,0.0,0.0,0.0,0.005406374837993488,2000,0,0
v4,C,0.651,0.0,0.0,0.0,0.5278666666666667,0.034816183976229605,0.0,0.0,0.0,0.01216726025949236,2000,0,0
v4,D,0.5525000000000001,0.0,0.0,0.0,0.4933666666666667,0.02434474618201364,0.0,0.0,0.0,0.008542573122634418,2000,0,0
v4,D_revised,0.651,0.0,0.0,0.0,0.5278666666666667,0.034816183976229605,0.0,0.0,0.0,0.01216726025949236,2000,0,0
